result_set,workload,run,window,sample_count,bandwidth_mib_s_mean,iops_mean,clat_avg_us_mean,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,2,middle,80,135.6377197265625,34723.1,244.33804999999998,278.732,29600.9,29177.3,0.9856896243019637,307.7933902439024,298.60922500000004,0.970161265527422
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,3,first_third,81,91.65244140625,23463.2,400.2782195121951,816.118,23463.2,37354.675,1.592053726686897,400.2782195121951,225.11430000000001,0.562394577137719
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,3,last_third,80,145.9172607421875,37354.675,225.11430000000001,358.173,23463.2,37354.675,1.592053726686897,400.2782195121951,225.11430000000001,0.562394577137719
sustained_rand_write_120s_512M_4k_qd16_direct1_repeat3,rand_write,3,middle,80,134.48623046875,34428.275,246.619125,307.935,23463.2,37354.675,1.592053726686897,400.2782195121951,225.11430000000001,0.562394577137719
sustained_rand_write_120s_qd16_repeat3,rand_write,1,first_third,81,146.1958251953125,37425.975,225.78056097560977,309.799,37425.975,42824.775,1.1442527549382482,225.78056097560977,196.40477500000003,0.8698923155798913
sustained_rand_write_120s_qd16_repeat3,rand_write,1,last_third,80,167.2845947265625,42824.775,196.40477500000003,226.198,37425.975,42824.775,1.1442527549382482,225.78056097560977,196.40477500000003,0.8698923155798913
sustained_rand_write_120s_qd16_repeat3,rand_write,1,middle,80,150.889501953125,38627.6,218.61975,265.622,37425.975,42824.775,1.1442527549382482,225.78056097560977,196.40477500000003,0.8698923155798913
sustained_rand_write_120s_qd16_repeat3,rand_write,2,first_third,81,162.7256591796875,41657.725,203.27234146341462,228.036,41657.725,43590.25,1.0463905554131918,203.27234146341462,193.569575,0.9522671584655261
sustained_rand_write_120s_qd16_repeat3,rand_write,2,last_third,80,170.274951171875,43590.25,193.569575,230.556,41657.725,43590.25,1.0463905554131918,203.27234146341462,193.569575,0.9522671584655261
sustained_rand_write_120s_qd16_repeat3,rand_write,2,middle,80,165.291552734375,42314.55,200.5148,237.259,41657.725,43590.25,1.0463905554131918,203.27234146341462,193.569575,0.9522671584655261
sustained_rand_write_120s_qd16_repeat3,rand_write,3,first_third,81,169.4100830078125,43369.025,196.52660975609757,219.204,43369.025,42785.475,0.9865445441764024,196.52660975609757,202.2619,1.0291832757458153
sustained_rand_write_120s_qd16_repeat3,rand_write,3,last_third,80,167.13115234375,42785.475,202.2619,326.046,43369.025,42785.475,0.9865445441764024,196.52660975609757,202.2619,1.0291832757458153
sustained_rand_write_120s_qd16_repeat3,rand_write,3,middle,80,167.0283447265625,42759.175,197.85155,241.138,43369.025,42785.475,0.9865445441764024,196.52660975609757,202.2619,1.0291832757458153
sustained_rand_write_120s_qd32_repeat3,rand_write,1,first_third,81,144.3078369140625,36942.725,448.2390731707317,558.133,36942.725,33418.9,0.9046138312753053,448.2390731707317,483.354125,1.078340006329375
sustained_rand_write_120s_qd32_repeat3,rand_write,1,last_third,80,130.54326171875,33418.9,483.354125,669.78,36942.725,33418.9,0.9046138312753053,448.2390731707317,483.354125,1.078340006329375
sustained_rand_write_120s_qd32_repeat3,rand_write,1,middle,80,130.8365234375,33494.05,528.444725,1102.495,36942.725,33418.9,0.9046138312753053,448.2390731707317,483.354125,1.078340006329375
sustained_rand_write_120s_qd32_repeat3,rand_write,2,first_third,81,142.6762451171875,36525.05,449.9654390243903,525.181,36525.05,34807.05,0.9529637878661357,449.9654390243903,471.78657499999997,1.048495137810855
sustained_rand_write_120s_qd32_repeat3,rand_write,2,last_third,80,135.965576171875,34807.05,471.78657499999997,567.948,36525.05,34807.05,0.9529637878661357,449.9654390243903,471.78657499999997,1.048495137810855
sustained_rand_write_120s_qd32_repeat3,rand_write,2,middle,80,142.202490234375,36403.75,454.96015,552.546,36525.05,34807.05,0.9529637878661357,449.9654390243903,471.78657499999997,1.048495137810855
sustained_rand_write_120s_qd32_repeat3,rand_write,3,first_third,81,141.0298828125,36103.425,458.65645000000006,666.125,36103.425,38481.15,1.0658587100808303,458.65645000000006,422.80972499999996,0.9218440621515296
sustained_rand_write_120s_qd32_repeat3,rand_write,3,last_third,80,150.31728515625,38481.15,422.80972499999996,529.488,36103.425,38481.15,1.0658587100808303,458.65645000000006,422.80972499999996,0.9218440621515296
sustained_rand_write_120s_qd32_repeat3,rand_write,3,middle,81,157.1549072265625,40231.675,410.6181219512195,502.869,36103.425,38481.15,1.0658587100808303,458.65645000000006,422.80972499999996,0.9218440621515296
sustained_rand_write_300s_qd32_repeat3,rand_write,1,first_third,201,123.4351171875,31599.38,532.274396039604,843.255,31599.38,34726.51,1.0989617517812058,532.274396039604,472.62939,0.8879431239161726
