msec,sec,bandwidth_kib_s,iops,clat_avg_us,result_set,workload,run,source_file
53000.0,53.0,,,233.806,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
53035.0,53.035,141232.0,35308.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
54000.0,54.0,,,231.381,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
54036.0,54.036,144880.0,36220.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
55000.0,55.0,,,225.307,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
55036.0,55.036,150556.0,37639.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
56000.0,56.0,,,207.267,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
56037.0,56.037,162556.0,40639.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
57000.0,57.0,,,172.836,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
57038.0,57.038,196184.0,49046.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
58000.0,58.0,,,203.384,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
58039.0,58.039,164287.0,41071.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
59000.0,59.0,,,199.686,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
59039.0,59.039,165868.0,41467.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
60000.0,60.0,,,201.684,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
60040.0,60.04,165958.0,41489.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
61000.0,61.0,,,226.378,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
61041.0,61.041,147444.0,36861.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
62000.0,62.0,,,227.25,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
62042.0,62.042,147116.0,36779.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
63000.0,63.0,,,231.3,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
63042.0,63.042,145016.0,36254.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
64000.0,64.0,,,213.864,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
64042.0,64.042,158304.0,39576.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
65000.0,65.0,,,176.364,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
65043.0,65.043,193068.0,48267.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
66000.0,66.0,,,180.813,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
66043.0,66.043,186676.0,46669.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
67000.0,67.0,,,188.106,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
67044.0,67.044,177226.0,44306.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
68000.0,68.0,,,185.375,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
68045.0,68.045,180240.0,45060.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
69000.0,69.0,,,239.265,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
69046.0,69.046,139300.0,34825.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
70000.0,70.0,,,253.411,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
70047.0,70.047,129868.0,32467.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
71000.0,71.0,,,216.842,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
71047.0,71.047,155956.0,38989.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
72000.0,72.0,,,265.622,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
72049.0,72.049,123556.0,30889.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
73000.0,73.0,,,257.639,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
73049.0,73.049,127636.0,31909.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
74000.0,74.0,,,262.283,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
74050.0,74.05,126201.0,31550.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
75000.0,75.0,,,222.796,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
75051.0,75.051,150249.0,37562.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
76000.0,76.0,,,243.128,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
76052.0,76.052,137402.0,34350.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
77000.0,77.0,,,246.143,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
77053.0,77.053,134425.0,33606.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
78000.0,78.0,,,230.169,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
78054.0,78.054,147360.0,36840.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
79000.0,79.0,,,240.723,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
79055.0,79.055,136943.0,34235.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
80000.0,80.0,,,219.532,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
80056.0,80.056,152944.0,38236.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
81000.0,81.0,,,197.999,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
81057.0,81.057,169176.0,42294.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
82000.0,82.0,,,179.066,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
82057.0,82.057,188012.0,47003.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
83000.0,83.0,,,197.852,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
83058.0,83.058,171944.0,42986.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
84000.0,84.0,,,193.345,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
84059.0,84.059,174244.0,43561.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
85000.0,85.0,,,175.948,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
85060.0,85.06,190273.0,47568.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
86000.0,86.0,,,200.364,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
86061.0,86.061,168011.0,42002.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
87000.0,87.0,,,188.055,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
87061.0,87.061,178636.0,44659.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
88000.0,88.0,,,184.809,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
88062.0,88.062,184480.0,46120.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
89000.0,89.0,,,193.332,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
89062.0,89.062,174332.0,43583.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
90000.0,90.0,,,187.856,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
90062.0,90.062,178188.0,44547.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
91000.0,91.0,,,186.062,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
91062.0,91.062,181728.0,45432.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
92000.0,92.0,,,196.388,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
92063.0,92.063,169796.0,42449.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
93000.0,93.0,,,221.1,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
93063.0,93.063,151024.0,37756.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
94000.0,94.0,,,221.579,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
94065.0,94.065,151996.0,37999.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
95000.0,95.0,,,213.897,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
95065.0,95.065,157936.0,39484.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
96000.0,96.0,,,216.472,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
96066.0,96.066,157388.0,39347.0,,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
97000.0,97.0,,,188.123,sustained_rand_write_120s_qd16_repeat3,rand_write,1,sustained_rand_write_120s_qd16_repeat3_run1.json
